0	1
0.2000	1
0.5400	-1
-0.0300	1
-0.2590	-1
0.1755	1
-0.7649	-1
0.5145	-1
-0.6544	1
-0.0628	-1
0.8941	-1
-1.3370	-1
0.4360	1
-0.2408	-1
-0.3243	-1
0.4991	1
-0.6449	1
1.1078	-1
0.0473	1
-0.6477	1
1.3778	-1
-1.1917	-1
-0.3164	1
0.4103	-1
-0.9587	1
0.9918	-1
0.1752	-1
-0.9922	1
0.9476	-1
-0.8228	-1
-0.5099	1
0.7706	-1
-0.7228	1
0.6518	1
0.8503	-1
-0.6960	-1
0.1430	-1
-1.1321	-1
-0.8489	-1
0.2426	-1
-0.7418	-1
0.6349	1
0.3674	1
0.4459	-1
0.6444	1
-0.9517	1
0.6887	1
-0.0750	1
0.0304	1
1.2383	-1
-0.8253	1
0.0642	-1
0.1746	1
-1.3140	-1
1.3113	-1
-1.1782	-1
-0.2683	1
0.9746	-1
-1.0515	1
1.0504	-1
0.1259	-1
-1.4239	1
1.1442	1
-0.5557	1
0.6525	1
1.4247	1
-0.8050	-1
0.8615	-1
-1.5106	1
-0.8005	1
1.4851	1
-0.6544	-1
1.5694	-1
-0.5452	1
-1.0768	1
1.5233	-1
-1.6275	1
0.6856	-1
0.8319	-1
-2.1034	-1
1.4371	-1
-1.5783	1
-0.2322	1
2.3773	-1
-1.7283	1
1.6098	-1
-0.0965	1
-2.0538	-1
2.2550	-1
-2.7334	1
0.8457	-1
1.5508	1
-2.4895	-1
3.2780	-1
-2.4187	1
-0.4945	-1
2.3255	1
-3.6092	-1
3.3777	-1
-1.4421	1
-1.4075	1
3.9459	1
-3.4034	1
2.8624	-1
0.2238	1
-3.3911	1
4.4038	-1
-3.6414	1
0.7999	1
2.9581	1
-3.8430	1
4.7097	1
-1.7139	1
-1.1361	-1
3.4377	-1
-5.5621	-1
2.6300	-1
-0.6597	1
-2.5570	1
5.8814	1
-3.4268	-1
1.9548	1
1.0398	-1
-4.6600	1
3.9102	1
-2.3110	1
0.5443	1
3.9605	-1
-4.1783	1
3.0022	1
-0.8537	-1
-2.6529	1
3.7855	1
-3.0207	-1
1.8813	1
1.1328	-1
-3.0164	1
3.1172	-1
-2.3123	-1
-0.7460	-1
1.9868	-1
-3.6394	-1
2.5248	-1
-0.8209	-1
-1.7223	1
3.3053	1
-2.3752	-1
1.6732	1
0.4927	-1
-2.4494	1
2.3943	-1
-1.9123	-1
-0.3902	1
1.8460	1
-1.7974	1
2.6974	1
-0.0573	1
-0.8219	-1
1.7939	1
-3.0346	1
1.6753	-1
0.1292	-1
-2.1128	1
2.9197	1
-1.6152	-1
0.6599	-1
0.7377	-1
-3.0627	-1
1.7343	-1
-1.6988	-1
-0.5182	-1
2.0250	1
-2.1096	1
2.8017	-1
-0.3526	1
-1.6590	1
2.8406	-1
-3.0354	1
1.0125	-1
1.1308	-1
-3.2421	-1
2.9113	-1
-2.3345	-1
-0.5750	1
2.5636	-1
-2.8210	-1
2.1817	1
-0.4401	-1
-1.5159	-1
2.0404	-1
-2.9616	-1
0.8199	1
0.7272	1
-1.1180	1
3.2876	-1
-1.5648	1
-0.2401	1
1.5669	-1
-2.9833	1
1.9030	1
